date,hs300,zz500,kc50,consume,chip,gold,bond10
2015-01-06,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-01-07,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-01-08,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-01-09,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-01-12,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-01-13,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-01-14,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-01-15,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-01-16,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-01-19,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-01-20,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-01-21,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-01-22,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-01-23,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-01-26,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-01-27,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-01-28,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-01-29,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-01-30,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-02-02,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-02-03,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-02-04,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-02-05,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-02-06,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-02-09,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-02-10,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-02-11,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-02-12,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-02-13,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-02-16,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-02-17,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-02-25,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-02-26,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-02-27,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-03-02,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-03-03,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-03-04,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-03-05,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-03-06,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-03-09,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-03-10,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-03-11,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-03-12,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-03-13,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-03-16,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-03-17,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-03-18,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-03-19,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-03-20,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-03-23,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-03-24,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-03-25,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-03-26,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-03-27,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-03-30,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-03-31,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-04-01,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-04-02,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-04-03,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-04-07,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-04-08,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-04-09,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-04-10,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-04-13,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-04-14,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-04-15,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-04-16,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-04-17,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-04-20,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-04-21,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-04-22,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-04-23,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-04-24,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-04-27,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-04-28,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-04-29,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-04-30,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-05-04,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-05-05,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-05-06,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-05-07,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-05-08,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-05-11,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-05-12,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-05-13,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-05-14,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-05-15,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-05-18,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-05-19,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-05-20,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-05-21,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-05-22,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-05-25,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-05-26,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-05-27,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-05-28,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-05-29,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-06-01,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-06-02,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-06-03,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-06-04,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-06-05,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-06-08,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-06-09,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-06-10,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-06-11,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2015-06-12,0.25,0.25,0.0,0.25,0.0,0.25,0.0
